level,class_id,spell_id
4,14,1
4,52,1
4,60,1
1,52,2
1,60,2
7,52,3
7,60,3
4,52,4
4,60,4
3,52,5
3,60,5
3,5,8
3,5,9
2,5,10
9,52,11
9,60,11
9,61,11
9,52,12
9,60,12
9,52,13
9,60,13
9,14,14
9,52,14
9,60,14
9,14,15
9,52,15
9,60,15
8,14,16
3,10,18
3,19,18
4,14,18
4,52,18
4,60,18
9,52,19
9,60,19
1,6,20
1,45,20
1,52,20
1,60,20
1,58,20
1,6,21
1,45,21
1,52,21
1,60,21
1,59,22
1,61,22
1,61,23
3,52,24
3,60,24
6,52,25
6,60,25
6,59,25
6,11,25
6,48,25
6,18,25
6,22,25
4,52,26
4,60,26
1,52,27
1,60,27
1,59,27
1,52,28
1,60,28
5,52,29
5,60,29
5,52,30
5,60,30
0,52,31
0,60,31
0,52,32
0,60,32
0,59,32
0,24,32
0,48,32
6,52,33
6,60,33
6,52,34
6,60,34
6,52,35
6,60,35
7,52,36
7,60,36
1,5,37
2,6,37
2,14,37
2,52,37
2,60,37
2,14,38
3,52,38
3,60,38
6,14,39
7,52,39
7,60,39
2,32,40
3,6,40
3,14,40
3,52,40
3,60,40
2,23,41
2,52,41
2,60,41
5,49,42
4,52,43
4,60,43
2,45,44
2,52,44
2,60,44
4,14,45
3,14,46
3,23,46
4,52,46
4,60,46
2,52,47
2,60,47
2,42,47
4,14,48
4,52,48
4,60,48
2,14,49
2,1,49
2,37,49
4,14,50
3,14,51
5,52,52
5,60,52
5,61,52
5,61,53
2,52,54
2,60,54
3,14,55
3,23,55
3,52,55
3,60,55
3,14,56
3,23,56
3,52,56
3,60,56
3,14,57
3,23,57
3,52,57
3,60,57
3,14,58
3,23,58
3,52,58
3,60,58
2,53,59
3,46,59
4,14,59
4,23,59
5,52,60
5,60,60
9,52,61
9,60,61
1,6,62
1,56,62
1,18,62
1,48,62
1,54,62
1,58,62
1,60,62
1,52,62
1,45,62
1,15,62
2,6,63
2,52,63
2,60,63
6,52,64
6,60,64
6,14,65
2,14,66
3,23,67
2,23,68
2,45,68
5,23,69
3,23,70
3,45,70
2,14,71
2,57,71
2,37,71
2,18,71
4,14,72
3,14,73
4,10,74
4,14,74
4,43,74
3,6,75
3,58,75
4,6,76
3,6,77
2,52,78
2,60,78
3,6,79
3,14,79
3,23,79
3,52,79
3,60,79
2,6,80
2,35,80
2,18,80
2,48,80
2,61,80
2,54,80
2,58,80
2,51,80
2,60,80
2,52,80
2,5,80
1,6,81
1,52,81
1,60,81
3,52,82
3,60,82
0,14,83
0,52,83
0,60,83
7,52,84
7,60,84
1,6,85
3,5,86
3,44,86
3,52,86
3,60,86
3,5,87
3,52,87
3,60,87
1,6,88
1,6,89
6,6,90
6,52,90
6,60,90
6,48,90
6,15,90
3,6,91
3,52,91
3,60,91
3,6,92
3,52,92
3,60,92
3,6,93
3,52,93
3,60,93
3,6,94
3,52,94
3,60,94
3,6,95
3,14,95
3,52,95
3,60,95
3,14,96
3,14,97
1,14,98
1,14,99
9,14,100
9,23,100
2,49,101
1,6,102
1,52,102
1,60,102
3,43,103
2,43,104
6,23,105
6,23,106
1,5,107
1,14,107
4,45,108
5,23,108
5,52,108
5,60,108
5,61,108
5,48,108
1,45,109
2,6,109
2,23,109
2,23,110
3,45,110
8,23,111
2,23,112
2,45,112
6,23,113
2,6,114
2,23,114
2,1,114
0,23,115
1,45,115
2,14,116
2,23,116
2,24,116
2,45,116
2,52,116
2,60,116
7,14,117
7,23,117
7,52,117
7,60,117
7,52,118
7,60,118
7,52,119
7,60,119
2,18,121
3,14,121
3,17,121
3,1,121
4,11,121
4,60,121
4,61,121
4,52,121
4,48,121
4,22,121
6,52,122
6,60,122
2,23,123
1,23,125
2,6,126
4,14,127
5,52,127
5,60,127
5,56,128
6,6,128
6,14,128
6,35,128
7,23,129
1,6,130
1,52,130
1,60,130
1,58,130
1,61,130
1,48,130
1,35,130
1,56,130
7,14,131
6,23,132
6,23,133
1,23,134
1,23,136
2,5,137
2,32,137
3,52,137
3,60,137
1,23,139
1,23,141
6,52,142
6,60,142
3,52,143
3,60,143
3,52,144
3,60,144
6,52,145
6,60,145
6,52,146
6,60,146
5,52,147
5,60,147
5,14,148
5,52,148
5,60,148
4,14,149
4,52,149
4,60,149
3,14,150
3,52,150
3,60,150
8,14,151
5,52,152
5,60,152
5,11,153
6,14,153
6,23,153
6,18,153
6,56,153
7,52,154
7,60,154
5,46,155
6,52,155
6,60,155
6,48,155
6,15,155
8,14,155
8,18,155
7,52,156
7,60,156
7,52,157
7,60,157
8,52,158
8,60,158
8,61,158
8,48,158
8,18,158
9,23,158
9,11,158
9,56,158
4,23,159
4,11,159
4,56,159
2,61,165
2,61,166
1,6,167
1,52,167
1,60,167
1,23,168
4,23,170
5,52,170
5,60,170
5,59,170
5,61,170
4,23,171
5,52,171
5,60,171
5,59,171
4,23,172
5,52,172
5,60,172
2,55,173
4,52,173
4,60,173
4,33,173
4,25,173
4,48,173
4,18,173
4,15,173
5,52,174
8,52,175
1,54,176
2,52,176
2,60,176
2,38,176
2,61,176
2,48,176
2,15,176
0,52,177
0,60,177
0,61,177
0,18,177
0,48,177
0,15,177
3,52,178
3,60,178
4,52,179
4,60,179
1,52,180
1,60,180
1,55,181
3,52,181
3,48,181
3,18,181
3,8,181
3,38,181
3,25,181
3,33,181
3,60,181
3,15,181
3,52,182
3,60,182
7,52,183
7,60,183
7,8,183
7,48,183
7,18,183
7,52,184
7,60,184
2,32,185
2,52,185
2,60,185
3,23,186
3,52,186
3,60,186
1,6,188
1,32,188
1,52,188
1,60,188
4,14,192
4,23,192
3,52,193
3,60,193
1,45,194
1,52,194
1,60,194
1,45,195
1,52,195
1,60,195
6,52,196
6,60,196
7,52,197
7,60,197
4,45,198
3,45,199
3,5,200
3,45,200
7,23,201
7,52,201
7,60,201
6,52,202
6,60,202
2,52,203
2,60,203
8,52,204
6,2,205
6,27,205
9,2,207
9,27,207
4,2,209
4,27,209
4,43,209
4,37,209
4,43,210
4,45,211
6,23,211
4,52,212
4,60,212
7,52,213
4,23,214
4,45,214
1,23,215
1,45,215
4,5,216
4,14,217
4,52,217
4,60,217
4,14,218
4,52,218
4,60,218
4,14,219
5,23,219
4,14,220
9,14,221
9,52,221
9,60,221
9,61,221
9,48,221
9,18,221
5,14,222
5,23,222
5,31,222
5,56,222
2,52,223
2,60,223
1,49,224
3,14,225
3,23,225
4,52,225
4,60,225
3,14,226
3,23,226
4,52,226
4,60,226
3,14,227
3,23,227
4,52,227
4,60,227
1,32,228
2,52,228
2,60,228
2,52,229
2,60,229
3,14,230
3,23,230
3,52,230
3,60,230
2,6,231
2,14,231
2,23,231
2,52,231
2,60,231
2,14,232
1,23,234
2,14,234
7,14,235
7,23,235
3,14,236
3,23,236
3,20,236
4,43,236
4,45,236
5,14,237
6,52,237
6,60,237
5,14,238
6,52,238
6,60,238
2,43,239
2,43,240
6,52,241
6,60,241
6,52,242
6,60,242
4,14,243
4,43,243
7,23,244
7,23,245
8,52,248
8,60,248
8,52,249
8,60,249
7,52,250
7,60,250
7,52,251
7,60,251
2,14,252
2,23,252
3,52,252
3,60,252
2,14,253
2,23,253
3,52,253
3,60,253
2,14,254
2,23,254
3,52,254
3,60,254
5,23,255
9,14,256
9,52,256
9,60,256
9,14,257
9,52,257
9,60,257
6,23,258
2,43,259
3,14,259
7,52,260
7,60,260
6,14,261
7,52,261
7,60,261
7,52,262
7,60,262
8,23,263
8,23,264
8,23,265
8,14,266
8,52,266
8,60,266
3,14,267
4,43,267
3,14,268
3,43,268
1,14,269
1,43,269
1,14,270
1,43,270
6,14,272
3,23,274
3,52,274
3,60,274
1,23,275
1,52,275
1,60,275
1,52,276
1,60,276
1,52,278
1,60,278
3,52,279
3,60,279
4,52,280
4,60,280
4,52,281
4,60,281
1,6,282
2,52,282
2,60,282
2,23,283
2,45,283
2,52,283
2,60,283
2,23,284
2,45,284
2,52,284
2,60,284
4,6,285
4,52,285
4,60,285
5,23,286
5,52,286
5,60,286
5,1,286
5,61,286
5,48,286
5,18,286
2,52,287
2,60,287
2,52,288
2,60,288
5,52,289
5,60,289
5,52,290
5,60,290
5,52,291
5,60,291
5,52,292
5,60,292
2,14,293
4,52,293
4,60,293
2,14,294
2,52,294
2,60,294
3,52,295
3,60,295
3,52,296
3,60,296
1,14,297
1,22,297
1,11,297
1,18,297
1,35,297
1,19,297
4,45,298
3,14,299
3,43,299
3,52,299
3,60,299
5,14,300
5,60,300
5,52,300
6,14,301
6,38,301
6,41,301
7,52,301
7,60,301
7,48,301
6,14,302
7,52,302
7,60,302
6,14,303
7,52,303
7,60,303
1,42,304
2,23,304
2,45,304
2,56,304
7,2,305
7,14,305
2,52,306
2,60,306
2,52,307
2,60,307
2,6,308
4,52,308
4,60,308
4,6,310
4,52,311
4,60,311
4,14,312
4,23,312
4,43,312
3,14,313
3,52,313
3,60,313
2,14,317
2,48,317
2,17,317
2,24,317
2,28,317
2,37,317
2,38,317
2,57,317
2,46,317
2,1,317
2,60,317
2,52,317
2,45,317
2,23,317
2,56,317
6,14,318
6,23,318
6,52,318
6,60,318
6,48,318
6,56,318
4,7,319
4,23,319
5,14,319
3,23,320
4,14,320
3,23,321
4,14,321
1,23,322
1,6,323
1,23,323
1,6,324
1,23,324
2,7,325
2,23,325
5,14,326
3,6,327
4,52,327
4,60,327
1,6,328
1,52,328
1,60,328
2,6,329
3,10,330
3,52,330
3,60,330
8,14,331
8,14,332
8,14,333
1,23,334
1,23,335
1,23,336
1,23,337
2,52,338
2,60,338
2,60,339
2,52,339
4,41,340
5,52,340
5,60,340
2,14,341
2,43,341
1,52,343
1,60,343
1,60,344
1,52,344
3,14,345
3,1,345
3,18,345
4,52,345
4,60,345
4,35,345
4,48,345
4,22,345
4,15,345
6,6,346
7,14,346
8,52,346
8,60,346
6,6,347
7,14,347
8,52,347
8,60,347
7,14,348
8,60,348
8,52,348
3,19,349
6,6,349
7,14,349
8,52,349
8,60,349
1,52,350
1,60,350
1,22,351
1,52,351
1,60,351
5,1,352
5,14,352
5,50,352
2,1,353
2,14,353
2,50,353
2,1,354
2,14,354
2,50,354
5,23,355
5,24,356
8,52,356
8,60,356
8,48,356
9,52,357
9,60,357
9,48,357
3,52,358
3,60,358
6,52,359
6,60,359
6,48,359
7,52,360
7,60,360
7,48,360
1,52,361
1,60,361
3,55,362
4,24,362
5,52,362
5,60,362
5,48,362
2,52,363
2,60,363
2,52,364
2,60,364
2,24,365
2,52,365
2,60,365
1,24,366
1,52,366
1,60,366
2,52,367
2,60,367
5,14,368
8,52,369
8,60,369
8,48,369
9,52,370
9,60,370
3,14,371
3,23,371
3,43,371
3,45,371
3,20,371
5,23,372
5,23,373
2,23,374
6,23,377
7,52,377
7,60,377
4,23,378
5,52,378
5,60,378
2,23,379
3,52,379
3,60,379
5,23,380
6,52,380
6,60,380
3,23,381
4,52,381
4,60,381
1,5,382
1,52,382
1,60,382
9,52,383
9,60,383
9,52,384
9,60,384
2,14,385
2,52,385
2,60,385
2,14,386
3,14,387
8,52,389
8,60,389
8,52,390
8,60,390
3,52,391
3,60,391
2,53,392
3,52,392
3,60,392
3,52,393
3,60,393
2,23,394
8,52,395
8,60,395
6,52,396
6,60,396
5,23,397
5,52,397
5,60,397
6,14,398
6,59,398
6,18,398
2,6,399
2,14,399
1,5,400
1,10,400
1,14,400
1,24,400
1,52,400
1,60,400
1,10,401
2,5,401
2,14,401
2,52,401
2,60,401
2,5,402
2,10,402
3,14,402
3,52,402
3,60,402
3,45,403
3,45,404
3,45,405
3,45,406
2,43,407
3,14,407
4,52,407
4,60,407
2,45,408
2,52,408
2,60,408
2,59,408
2,45,409
2,52,409
2,60,409
2,59,409
1,45,410
1,52,410
1,60,410
2,6,411
2,52,411
2,60,411
2,58,411
2,6,412
2,52,412
2,60,412
7,14,413
7,41,413
7,18,413
4,52,414
4,60,414
4,59,414
4,52,415
4,60,415
4,59,415
4,52,416
4,60,416
2,52,419
2,60,419
4,23,420
4,52,420
4,60,420
1,43,421
2,23,421
4,14,422
4,52,422
4,60,422
4,10,423
5,14,423
5,23,423
1,14,424
1,43,424
1,1,424
1,57,424
1,38,424
1,17,424
1,14,425
1,43,425
1,31,425
1,37,425
1,43,426
1,51,426
1,57,426
1,38,426
1,37,426
1,43,427
1,43,428
2,10,429
2,43,429
3,14,429
2,43,430
3,14,430
1,10,431
1,14,431
1,43,431
3,2,432
3,13,432
3,14,432
3,43,432
3,51,432
3,43,433
3,43,434
4,14,435
4,43,435
3,14,436
4,23,437
5,14,437
4,23,438
5,14,438
4,23,439
4,11,439
4,56,439
5,52,439
5,60,439
5,48,439
5,18,439
5,22,439
4,9,440
4,6,440
4,23,440
4,45,440
3,52,441
3,60,441
4,52,442
4,60,442
2,8,443
2,52,443
2,60,443
9,52,444
9,60,444
1,23,445
2,23,446
2,23,447
1,53,448
2,6,448
2,52,448
2,60,448
2,58,448
2,48,448
2,18,448
2,22,448
3,14,448
3,23,449
3,52,449
3,60,449
4,14,449
2,23,450
2,52,450
2,60,450
3,14,450
2,23,451
2,52,451
2,60,451
3,14,451
2,23,452
2,52,452
2,60,452
3,14,452
3,14,453
3,23,453
4,14,454
4,23,454
3,6,455
3,52,455
3,60,455
3,58,455
3,48,455
5,6,456
5,52,456
5,60,456
5,6,457
5,52,457
5,60,457
5,6,458
5,52,458
5,60,458
4,52,459
4,60,459
5,14,459
4,52,460
4,60,460
5,14,460
5,23,461
1,23,462
1,45,462
1,52,462
1,60,462
5,23,463
2,23,464
2,23,465
5,49,466
4,2,467
4,13,467
4,14,467
4,43,467
6,23,468
2,14,469
2,23,469
2,20,469
3,52,469
3,60,469
7,14,470
1,14,471
1,52,471
1,60,471
1,14,472
1,52,472
1,60,472
4,23,473
4,52,473
4,60,473
4,5,474
4,45,474
1,45,475
1,45,476
1,45,477
1,5,478
1,32,478
4,52,480
4,60,480
4,52,481
4,60,481
3,5,482
3,6,482
3,52,482
3,60,482
3,6,483
2,6,484
2,35,484
2,18,484
2,48,484
2,61,484
2,42,484
2,8,484
2,58,484
2,60,484
2,52,484
2,15,484
8,14,486
8,14,487
8,14,488
2,14,490
3,52,491
3,60,491
5,6,492
2,23,493
2,52,493
2,60,493
2,23,494
2,52,494
2,60,494
2,23,495
2,52,495
2,60,495
7,61,497
7,61,498
2,14,499
2,23,499
2,52,500
2,60,500
4,52,501
4,60,501
3,14,502
4,43,502
6,27,503
6,14,508
5,6,513
8,23,515
8,23,516
8,23,517
2,52,518
2,60,518
2,10,519
3,14,519
1,10,520
2,14,520
2,6,521
1,6,522
1,12,522
1,52,522
1,60,522
6,23,523
4,23,524
4,20,524
5,6,524
5,14,524
5,52,524
5,60,524
2,6,525
2,32,525
3,52,525
3,60,525
3,45,526
4,23,526
3,45,527
4,23,527
3,23,528
3,45,528
2,45,529
8,14,530
8,14,531
8,14,532
8,14,533
7,14,534
2,14,535
2,23,535
2,14,536
2,23,536
2,14,537
2,23,537
1,45,538
2,23,538
1,45,539
1,23,540
1,45,540
3,55,541
4,6,541
4,42,541
4,17,541
4,58,541
4,38,541
4,43,541
5,35,541
5,48,541
5,14,541
5,1,541
5,8,541
5,52,541
5,60,541
5,31,541
5,15,541
1,52,542
1,60,542
1,23,544
8,52,545
8,60,545
4,52,547
4,60,547
2,23,549
2,45,549
3,14,549
2,23,550
2,45,550
3,14,550
2,23,551
2,45,551
2,23,552
2,45,552
2,6,554
3,14,554
3,52,554
3,60,554
4,52,555
4,60,555
7,23,556
7,23,557
8,14,558
8,23,558
6,52,559
6,60,559
8,14,559
7,14,560
7,23,560
2,5,562
2,45,562
3,23,564
3,45,564
3,52,564
3,60,564
2,14,565
2,23,565
2,52,565
2,60,565
2,14,566
2,48,566
2,17,566
2,24,566
2,28,566
2,37,566
2,38,566
2,57,566
2,34,566
2,46,566
2,20,566
2,1,566
2,60,566
2,52,566
2,43,566
2,23,566
2,56,566
6,14,567
6,23,567
6,52,567
6,60,567
6,48,567
6,56,567
1,52,568
1,60,568
2,23,569
1,23,570
1,14,571
4,52,572
4,60,572
5,52,573
5,60,573
4,52,574
4,60,574
1,52,575
1,60,575
1,1,575
1,59,575
1,24,575
1,11,575
1,54,575
1,48,575
1,52,576
1,60,576
2,52,577
2,60,577
3,14,578
3,52,578
3,60,578
2,23,579
2,29,579
2,44,579
2,45,579
3,14,579
3,52,579
3,60,579
2,23,580
2,45,580
4,29,581
4,44,581
4,45,581
6,23,581
6,52,581
6,60,581
3,45,582
4,23,582
9,52,583
9,60,583
1,52,584
1,60,584
5,6,585
5,52,585
5,60,585
5,6,586
5,52,586
5,60,586
6,6,587
7,52,587
7,60,587
6,6,588
6,52,588
6,60,588
4,6,589
5,52,589
5,60,589
2,6,590
